Question ID,Exam,Questions,Option A,Option B,Option C,Option D,Answer,Explanation,Subject,Topic,Subtopic,Classification Status
Q000001,71ST BPSC,"In the following question, out of four words given below, three are alike in some manner and fourth word is different. Find the different one.",MICROSCOPE,TELESCOPE,STETHOSCOPE,PERISCOPE,(C) (C) STETHOSCOPE,,General Mental Ability & CSAT,Coding-Decoding,SPRING,CLASSIFIED
Q000002,71ST BPSC,SPRING is written in a code as UNUBRC. How will the word MOBILE be mentioned in that code language?,OMEFPA,OMPGNC,MPQSUL,SEGRFT,(A) (A) OMEFPA,,General Mental Ability & CSAT,Blood Relations,Mukesh is Rita's grandson,CLASSIFIED
Q000003,71ST BPSC,"Mukesh said to his friend, ""Rita is the mother of my son's wife's daughter"". How is Mukesh related to Rita?",Father,Son-in-law,Son,Father-in-law,(D) (D) father-in-law,,General Mental Ability & CSAT,Blood Relations,Mukesh is Rita's son's father-in-law,CLASSIFIED
Q000004,71ST BPSC,"Ram goes North, turn right, then goes right again and then goes to left. In which direction Ram is now?",EAST,SOUTH,NORTH,WEST,(A) (A) East,,General Mental Ability & CSAT,Direction Sense,North,CLASSIFIED
Q000005,71ST BPSC,"Writing in Alphabetical order, which name of the following will appear in the last?",Mahinder,Mohinder,Mohender,Mahendra,(B) (B) Mohinder,,General Mental Ability & CSAT,Alphabetical & Dictionary Order,Suresh,CLASSIFIED
Q000006,71ST BPSC,"Mahendra → M-a-h-e-n-d-r-a 2. Mahinder → M-a-h-i-n-d-e-r 3. Mohender → M-o-h-e-n-d-e-r 4. Mohinder → M-o-h-i-n-d-e-r • In the English alphabet, the first letter ""M"" is the same, then the order of ""a"" and ""o"" follows. • Mahendra and Mahinder will come first because the letter ""a"" comes first. • Mohender and Mohinder will come later because the letter ""o"" comes later. • Mohinder will come after Mohender because ""h-i"" > ""h-e"". • Therefore, Mohinder will come last. 6. Nitin is 7 ranks ahead of Joginder in a class of 39. If Joginder's rank is 17<sup>th</sup> from the last, what is Nitin's rank from the beginning?",17th,15th,18th,16th,(D) (D) 16th,,General Mental Ability & CSAT,Age Problems,Nitin's rank,CLASSIFIED
Q000007,71ST BPSC,"If + means x, x means -, ÷ means + and - means ÷ then 175-25÷5+20×3+10 equals to:",77,87,140,70,(A) (A) 77,,General Mental Ability & CSAT,Mathematical & Symbol Operations,Arithmetic symbol-substitution puzzle,CLASSIFIED
Q000008,71ST BPSC,Rahul is 3 times as old as Seema. Laxmi was twice as old as Rahul four years ago. In four year's time. Rahul will be 31. What are the present ages of Seema and Laxmi?,"10, 50","9, 52","9, 45","9, 50","(D) (D) 9, 50",,General Mental Ability & CSAT,Age Problems,Present ages of Seema and Laxmi,CLASSIFIED
Q000009,71ST BPSC,Find the missing number from the given alternatives:,30,35,20,25,(B) (B) 35,,General Mental Ability & CSAT,Mathematical & Symbol Operations,Missing number,CLASSIFIED
Q000010,71ST BPSC,RAIN is written in a code as 8$%6 and MORE is mentioned as 7#8@. How will REMAIN be mentioned in code language?,@$86%7,%7@%6#,86@$#7,8@7$%6,(D) (D) 8@7$%6,,General Mental Ability & CSAT,Coding-Decoding,REMAIN,CLASSIFIED
