Question ID,Subject,Topic,Subtopic,Question
Q000011,Current Affairs,Sports,Kosi Mechi Link Project beneficiaries,How many bronze medals were won by Bihar players in the 38<sup>th</sup> National Junior Athletics Championship 2025?
Q000017,Society,Miscellaneous,Afrikaners,Afrikaners indicate the people:
Q000018,Current Affairs,Art & Culture,Stepwell in Gujarat,What is the name of the 16<sup>th</sup>-century stepwell that the Archaeological Survey of India recently conserved in collaboration with the World Monuments Fund India?
Q000021,Current Affairs,Mathematical & Symbol Operations,GSLV-F15 Mission,What is true of the GSLV-F15 mission by ISRO?
Q000023,Current Affairs,Climate Change,UN Climate Conference in Baku 2024,The UN climate conference held in Baku in 2024 concluded with an agreement that:
Q000024,Current Affairs,Nobel Prize,The Vegetarian Novel,"Awarded the Nobel Prize in Literature in 2024, Han Kang's novel 'The Vegetarian' won which other prestigious award?"
Q000025,Current Affairs,Current Affairs,Glacier,Which glacier of Nepal among the following has been declared 'dead' in May 2025?
Q000026,Current Affairs,Indian Economy,Human Development Index,"According to the UNDP Human Development Index (HDI) Report 2025, life expectancy in India increased from 58.6 years in 1990 to how many years in 2023?"
Q000028,Current Affairs,Film,Emma Stone - Academy Awards,At the 96thAcademy Awards (2024). Emma Stone won the Oscar for Actress in a Leading Role for her performance in which film?
Q000029,Current Affairs,Film,Gujarati Film - National Film Award,"Which Gujarati film won the 70<sup>th</sup> National Film Award for Best Feature Film promoting national, social and environmental values?"
Q000031,Current Affairs,Blood Relations,Family Relationship Puzzle,"Phuntsho, Karma – Bhutan 2. Nguyen Thi Ngoc Phuong – Vietnam 3. Farwiza Farhan – Indonesia 4. Miyazaki Hayao – Japan 5. Rural Doctors Movement – Thailand Ramon Magsaysay Award Establishment – Year 1957 1. This award is given in memory of Ramon Magsaysay, the seventh president of the Philippines. 2. It was established to honor outstanding work in government service or social reform taking place in Asia 3. It is also known as Asia's Nobel Prize 4. The award is presented by the Ramon Magsaysay Award Foundation. 5. It is given to individuals and organizations who have made exceptional contributions to public service in various fields 31. Which of the following statements are true about Akashteer?"
Q000033,Current Affairs,Historical Events,Holocaust Memorial Day,Which day is observed as Holocaust Memorial Day?
Q000034,Current Affairs,Literature,Banu Mushtaq - International Booker Prize,What is the title of the book by Banu Mushtaq that won the 2025 International Booker Prize?
Q000037,General Mental Ability & CSAT,Development,Human Development Index,"Percentage of children under five years of age who are underweight (child malnutrition) — an indicator of poor health and nutrition. (Statemen 1: True) 2. Percentage of adult women who are illiterate — reflects a lack of education and knowledge (Statement 2: True) 3. Percentage of births not attended by skilled health personnel — an indicator of unsafe motherhood. • Male illiteracy is not used as an indicator in this (Statement 3: Incorrect) • The unavailability of clean drinking water is part of the Human Poverty Index (HPI), not the Capability Poverty Measure (CPM). (Statement 4: Incorrect) 37. Which of the following is not among the top ten principal commodities of India's export during April-September 2024-25?"
Q000040,Current Affairs,Banking,U-WIN Portal,Which of the following statement/s is/are NOT CORRECT about the U-WIN portal of Ministry of Health and Family welfare?
Q000042,Current Affairs,Rivers,Bharatmala Pariyojana Road Length,Which state had the highest constructed road length under Bharatmala Pariyojana as of 31<sup>st</sup> October 2024?
Q000044,Current Affairs,Development,Foreign Exchange Reserves,India's foreign exchange reserves:
Q000051,Indian Economy,Bihar Economy,YUVA framework components,Which of the following is NOT one of the components under the YUVA framework of the Bihar Startup Policy 2022?
Q000053,Indian Economy,Demographic Change,Bihar's demographic trends 2041,Consider the following statements: 1. The proportion of the young population (0-19 years) in Bihar is projected to decline significantly by 2041. 2. Bihar's demographic dividend is expected to peak around 2041 3. The elderly population (60+ years) in Bihar is expected to rise more sharply than in India. Select the correct answer using the codes given below:
Q000054,Indian Economy,Labour Force,Women employment in Bihar (PLFS 2023-24),"According to PLFS 2023-24, which of the following statements best describe the nature of employment among women in Bihar?"
Q000056,Indian Polity,Attorney General,Attorney General of India,Attorney General of India:
Q000058,Indian Polity,Directive Principles,Non-Gandhian Directive Principles,Which of the following Directive Principles do not follow Gandhian Principles? 1. Organization of Village Panchayats 2. Common Civil Code 3. Promotion of cottage Industry in rural areas 4. Right to work Code :
Q000071,History of India,Mahatma Gandhi,Safety-Valve Theory,At which Viceroy was a bomb thrown on the occasion of his state entry into Delhi?
Q000072,History of India,British Rule,Bomb thrown on Lord Curzon,Who got an opportunity to become Professor of Indian Philosophy in the University of California in 1911?
Q000077,History of India,Bharti Movement,Muhammad Shafi,"""We shall either free India or die in the attempt ..."" who said it?"
Q000081,History of Bihar,Kisan Movement,Sridhar Swami,Champaran Agrarian Committee was appointed in agreement between:
Q000086,History of Bihar,Harshavardhana,Assembly at Prayag,"Match List-I with List-II List-I Event/Place (a) Chola Gangam Lake (b) Appointment of Dharma Mahamatra (c) Assembly at Prayag (d) Sudarshan Lake List-II Connected with Person (1) Chandragupta Maurya (2) Harshavardhana (3) Rajendra I (4) Ashoka Select the correct answer using the codes given below: • Chola Gangam Lake - A reservoir and maritime trading center of the Chola dynasty in South India, associated with Rajendra I. • Appointment of Dharma Mahamatras - Appointed by Emperor Ashoka to oversee the observance of Dharma and its administration in his kingdom. • Assembly of Prayag - Organized by Empero Harshavardhana, which included representative from various kingdoms and scholars and monk from different religious sects. • Sudarshan Lake - This reservoir was constructed during the reign of Emperor Chandragupta Maurya. 89. Who among the following rulers, ruled for the maximum period?"
Q000088,Art & Culture,Tulsidas,Works of Tulsidas,Which one of the following is not written by Tulsidas?
Q000090,General Mental Ability & CSAT,Constitution,Constitutional Bodies,"Match List-I with List-II. List-I (Father) List-II (Son) Select the correct answer using the codes given below: • Babur - Kamran: Kamran was the youngest of Babur's sons. • Akbar - Salim: Akbar’s most famous son was Salim, who later adopted the name Jahangir. • Shahjahan – Murad Baksh: Murad was among Shahjahan sons. • Jahangir - Khusrau: Khusrau was Jahangir's son, who played a significant role in power struggles. Note : Murad Mirza is also one of the three son’s of the Akbar. 95. Which Buddhist councilwas not held in Bihar? Only the first, second, and third Buddhist councils were held in Bihar. • First Buddhist Council: 483 BCE, after the death of Gautama Buddha, in Rajagriha (modern Rajgir) under the patronage of King Ajatashatru. • Second Buddhist Council: 383 BCE, in Vaishali under the patronage of King Kalashoka • Third Buddhist Council: 250 BCE, in Pataliputra (modern Patna) under the patronage of Emperor Ashoka. • The Fourth Buddhist Council was not held in Bihar; it was held in Kundalavana in Kashmir, under the patronage of the Kushan king Kanishka. This council is considered significant for the expansion of the Buddhist faith and the codification of it doctrines. 96. Which of the following statements about Subhas Chandra Bose are correct? 1. He was elected Pręsident of the Indian Nationa Congress at Tripuri session of 1938 A.D 2. He escaped from home internment in January 1941 A.D 3. On October 21st 1943 A.D. he constituted the Provincial Government of India in Singapore."
