Question ID,Subject,Topic,Subtopic
Q000001,General Mental Ability & CSAT,Coding-Decoding,MICROSCOPE
Q000002,General Mental Ability & CSAT,Blood Relations,SPRING
Q000003,General Mental Ability & CSAT,Age Problems,"Mukesh said to his friend, ""Rita is the mother of my son's wife's daughter"""
Q000004,General Mental Ability & CSAT,Direction Sense,"Ram goes North, turn right, then goes right again and then goes to left"
Q000005,General Mental Ability & CSAT,Letter Series,Alphabetical and Dictionary Order
Q000006,General Mental Ability & CSAT,Ranking and Ordering,Nitin is 7 ranks ahead of Joginder in a class of 39
Q000007,General Mental Ability & CSAT,Symbol/Operator Substitution,"If + means x, x means -, ÷ means + and - means ÷ then 175-25÷5+20×3+10 equals to:"
Q000008,General Mental Ability & CSAT,Age Problems,Rahul is 3 times as old as Seema. Laxmi was twice as old as Rahul four years ago. In four year's time. Rahul will be 31.
Q000009,General Mental Ability & CSAT,Number Series,Missing Number
Q000010,General Mental Ability & CSAT,Code Breaking,Substitution Cipher
Q000011,General Mental Ability & CSAT,Coding-Decoding,38th National Junior Athletics Championship
Q000012,General Mental Ability & CSAT,Coding-Decoding,Kosi Mechi Link Project
Q000013,General Mental Ability & CSAT,Languages,Classical Languages
Q000014,General Mental Ability & CSAT,Biodiversity,Important Bird Areas
Q000015,General Mental Ability & CSAT,Current Affairs,Panchayati Raj Day 2025
Q000016,General Mental Ability & CSAT,Space Missions,Lunar Trailblazer Mission
Q000017,General Mental Ability & CSAT,Ethnic Groups,Afrikaners
Q000018,General Mental Ability & CSAT,Heritage Conservation,Stepwell Conservation
Q000019,General Mental Ability & CSAT,Current Affairs,Mayor of New York City
Q000020,General Mental Ability & CSAT,International Events,Eurovision Song Contest
Q000021,General Mental Ability & CSAT,Space Missions,GSLV-F15 Mission
Q000022,General Mental Ability & CSAT,International Events,18th G20 Summit
Q000023,General Mental Ability & CSAT,International Agreements,UN Climate Conference Baku 2024
Q000024,General Mental Ability & CSAT,Literature Awards,Han Kang's Novel
Q000025,General Mental Ability & CSAT,Geomorphology,Glacier dead
Q000026,General Mental Ability & CSAT,Human Development,HDI Report 2023
Q000027,General Mental Ability & CSAT,Current Affairs,AI Action Summit 2025
Q000028,General Mental Ability & CSAT,Film Awards,Emma Stone Oscar 2024
Q000029,General Mental Ability & CSAT,Film Awards,Gujarati Film National Award 2024
Q000030,General Mental Ability & CSAT,Awards,Ramon Magsaysay Award 2024
Q000031,General Mental Ability & CSAT,Defence Systems,Akashteer
Q000032,General Mental Ability & CSAT,Military Ecosystem,MBT Arjun
Q000033,General Mental Ability & CSAT,Days of Remembrance,Holocaust Memorial Day
Q000034,General Mental Ability & CSAT,Literature,Banu Mushtaq Book 2025
Q000035,General Mental Ability & CSAT,International Relations,Indus Waters Treaty Rivers
