Question ID,Questions,Option A,Option B,Option C,Option D,Predicted Subject,Predicted Topic,Predicted Subtopic,Subject Correct (Y/N),Correct Subject (if N),Topic Correct (Y/N),Correct Topic (if N),Notes
Q001106,Which of the following items is not registered as Geographical Indication of Bihar?,Jardalu mango,Muga silk,Katarni paddy,Magahi paan,Art & Culture,Bihar Culture,Geographical Indications,Y,,Y,,
Q001651,"According to the Reserve Bank of India, what is one of the eligibility criteria for a Small Finance Bank (SFB) to transition into a Universal Bank?","Minimum net worth of ₹ 1,500 crore",Minimum net worth of ₹ 500 crore,Minimum net worth of ₹ 2.000 crore,"Minimum net worth of ₹ 1,000 crore",Indian Economy,Financial System,Reserve Bank of India Eligibility Criteria,Y,,Y,,
Q000199,Which of the following statements are correct? I. Kalhan's book Rajtarangini is in Sanskrit II. Ibn Battuta was appointed the Qazi of Delhi III. Padshahnama of Abdul Hamid Lahori is about the rule of Shahjahan. IV. Amir Khusro was the inventor of the sitar. V. Hamida Banu Begum wrote Humayunnama.,I and II only,"I, II, III and IV only","Only II, III and","I, II, III, IV and V",History of India,Mauryan Empire,"Kalhan's Rajtarangini, Ibn Battuta, Padshahnama, Amir Khusro, Hamida Banu Begum",Y,,N,Mughal Empire,"Mixed medieval refs (Ibn Battuta/Padshahnama/Humayun-nama are Sultanate-Mughal era, not Mauryan)"
Q001727,The growth rate of fixed or fixed investment in India has increased from how much percent in 2017-18 to 10% in 2018-19?,8%,9.30%,9.80%,8.40%,Indian Economy,Economic Sectors,Fixed Investment Growth Rate,Y,,Y,,
Q001315,Consider the following words. (1) Socialist (2) Democratic (3) Sovereign (4) Secular Arrange the correct words according to the idea.,"3, 1, 4, and 2 (B) 3, 4, 1, and 2",,"3, 4, 2 and 1 (D) 4, 1, 3, and 4",,General Mental Ability & CSAT,Coding-Decoding,Substitution Cipher,N,Indian Polity,N,Preamble,"Tests recall of Preamble word order, not reasoning/coding"
Q002868,Which country became the 29th member of NATO in June 2017?,South Sudan,Albania,Belgium,Montenegro,Indian Polity,Federalism,NATO Membership,N,Current Affairs,N,International Relations,"NATO membership fact, unrelated to Indian Polity/Federalism"
Q001593,The driest desert in the world is,Sahara,Sonoran,Taklamakan,Atacama,Geography,Climatology,Deserts,Y,,Y,,
Q002305,The maximum wheat producing state of India is–,Haryana,Punjab,Bihar,Uttar Pradesh,Indian Economy,Agriculture,Wheat Production,Y,,Y,,
Q001208,Which of the following is a Parliamentary Committee relating to delegation of power to make rules and regulations to the Executive?,Committee on Executive Legislation,Committee on Subordinate Legislation,Committee on Administrative Legislation,Committee on Delegated Legislation,Indian Polity,Constitutional Bodies,Parliamentary Committee,Y,,Y,,
Q000931,When was Bihar Socialist Party formed?,1921,1927,1931,1934,History of Bihar,Administrative Reforms,Sher Shah Suri,Y,,N,Bihar Political Movements,Sher Shah Suri (16th c.) unrelated to a 1920s Bihar political party
Q000801,What is the female literacy rate of Bihar as per the Census 2011 of India?,61.80%,71.25%,50.50%,51.50%,Bihar Economy,Bihar Economic Survey,Incorrect Statement,Y,,Y,,Subtopic 'Incorrect Statement' isn't descriptive but Topic bucket is fine
Q002338,At what age can polio drops be given?,1 year,10 years,50 years,70 years,General Mental Ability & CSAT,Mathematical & Symbol Operations,Operator Substitution,N,General Science,N,Public Health,"Fact question about vaccination age, not a reasoning puzzle"
Q001740,"Which one of the following was not included in the intended objectives of the Union Budget, 2017-18?",Transform India,Clean India,Educate India,Energize India,Indian Economy,Development,Union Budget 2017-18,Y,,Y,,
Q000955,The latest annual per capita electricity consumption in Bihar is,Lowest,Second to lowest,Highest,Second to highest,Indian Economy,External Sector,Per Capita Income,N,Bihar Economy,N,Infrastructure & Energy,Bihar-specific electricity stat; 'External Sector' is trade/BOP
Q002101,Quartz crystals used in clocks are:,Sodium silicate,Silicon dioxide,Germanium oxide,Titanium dioxide,General Science,Chemistry,Atomic Structure,Y,,N,Chemical Compounds,"Quartz composition is a compound fact, not atomic structure"
Q002123,What is table salt (NaCl) made from?,Weak acid and weak base,Strong acid and strong base,Weak acid and strong base,From strong acid and weak base,General Science,Chemistry,Chemical Compounds,Y,,Y,,
Q002649,Which city hosted India's firstever nationwide food archeology conference 'Archaeobroma'?,Mumbai,New Delhi,Indore,Surat,Art & Culture,Bihar Culture,India's firstever nationwide food archeology conference 'Archaeobroma',N,Current Affairs,N,National,"National-level conference (New Delhi host), not Bihar culture"
